"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Perubahan%"
"31/12/2019","210.560,98","210.976,38","212.820,39","210.540,61","-0,16%"
"30/12/2019","210.892,88","210.895,42","211.359,22","210.319,84","0,13%"
"27/12/2019","210.627,61","210.884,48","211.408,38","210.266,22","-0,07%"
"26/12/2019","210.771,95","209.430,81","211.107,42","209.185,22","0,75%"
"25/12/2019","209.204,56","209.491,58","209.502,06","209.418,98","-0,01%"
"24/12/2019","209.233,88","207.490,03","209.620,44","207.334,39","0,91%"
"23/12/2019","207.342,98","206.615,42","207.700,91","206.500,25","0,42%"
"20/12/2019","206.469,56","206.824,17","207.200,70","206.266,30","-0,13%"
"19/12/2019","206.739,39","206.208,13","207.254,22","206.000,05","0,31%"
"18/12/2019","206.098,70","206.531,59","206.974,55","205.476,69","-0,15%"
"17/12/2019","206.417,20","206.720,47","207.268,28","206.263,69","-0,08%"
"16/12/2019","206.584,00","206.362,69","207.348,67","206.107,45","0,15%"
"13/12/2019","206.283,09","206.129,64","206.728,84","204.884,25","0,12%"
"12/12/2019","206.037,92","207.002,23","208.544,91","205.434,72","-0,42%"
"11/12/2019","206.901,11","205.138,64","207.582,58","204.830,30","0,89%"
"10/12/2019","205.068,91","204.857,27","205.856,81","204.372,91","0,16%"
"09/12/2019","204.742,14","204.876,63","205.431,89","204.431,55","-0,05%"
"06/12/2019","204.841,69","207.594,13","207.690,83","204.752,86","-1,29%"
"05/12/2019","207.511,55","207.968,36","208.263,98","207.163,41","-0,17%"
"04/12/2019","207.859,38","208.391,50","209.648,16","207.539,28","-0,21%"
"03/12/2019","208.303,19","206.564,00","209.067,86","206.101,66","0,89%"
"02/12/2019","206.462,64","206.924,59","206.982,13","205.387,14","-0,13%"
"29/11/2019","206.731,38","205.136,31","206.892,94","204.936,08","0,66%"
"28/11/2019","205.372,22","204.962,45","205.659,09","204.920,75","0,25%"
"27/11/2019","204.854,52","205.835,39","205.956,70","204.722,84","-0,41%"
"26/11/2019","205.707,39","204.815,89","206.059,56","204.316,94","0,48%"
"25/11/2019","204.720,27","205.963,56","206.030,86","204.635,00","-0,55%"
"22/11/2019","205.855,23","206.311,45","207.514,33","205.814,77","-0,15%"
"21/11/2019","206.165,70","207.414,67","208.306,42","206.044,44","-0,56%"
"20/11/2019","207.334,69","207.489,34","208.529,86","206.608,47","-0,02%"
"19/11/2019","207.382,61","207.111,06","207.915,58","206.362,16","0,17%"
"18/11/2019","207.025,98","206.543,81","207.529,86","204.990,47","0,31%"
